Path,Black,White,Ratio
./Prisha/1xShapes2/ellipse_angle_0.png,23347,23403,1.0023985951085792
./Prisha/1xShapes2/parallelogram_angle_0.png,16122,13702,1.1766165523281273
./Prisha/1xShapes2/square.png,15843,16224,1.0240484756674872
./Mahika/3xShapes/circle_3x.png,153812,127818,1.2033672878624293
./Mahika/3xShapes/square_3x.png,146609,142864,1.0262137417403965
./Mahika/3xShapes/ellipse_angle_90_3x.png,248615,174071,1.428239051881129
./Mahika/3xShapes/rectangle_angle_0_3x.png,218450,216462,1.0091840600197726
./Mahika/3xShapes/ellipse_angle_0_3x.png,207824,215763,1.0382005928093
./Mahika/3xShapes/trapezium_angle_0_3x.png,180630,87828,2.056633419866102
./Mahika/3xShapes/parallelogram_angle_0_3x.png,135551,133236,1.0173751838842355
./Mahika/3xShapes/parallelogram_angle_90_3x.png,133913,134672,1.0056678589830712
./Mahika/3xShapes/trapezium_angle_90_3x.png,157239,112239,1.4009301579664823
./Mahika/3xShapes/rectangle_angle_90_3x.png,210676,225134,1.0686267064117412
./Mahika/3xShapes2/circle_3x.png,143796,138387,1.03908604131891
./Mahika/3xShapes2/square_3x.png,152028,138605,1.0968435482125465
./Mahika/3xShapes2/ellipse_angle_90_3x.png,212351,211250,1.0052118343195267
./Mahika/3xShapes2/rectangle_angle_0_3x.png,223993,211895,1.0570943155808301
./Mahika/3xShapes2/ellipse_angle_0_3x.png,213704,209381,1.020646572516131
./Mahika/3xShapes2/trapezium_angle_0_3x.png,115400,153260,1.3280762564991335
./Mahika/3xShapes2/parallelogram_angle_0_3x.png,144461,124992,1.155761968766001
./Mahika/3xShapes2/parallelogram_angle_90_3x.png,145862,122838,1.1874338559729074
./Mahika/3xShapes2/trapezium_angle_90_3x.png,89581,178830,1.9962938569562743
./Mahika/3xShapes2/rectangle_angle_90_3x.png,230040,206282,1.1151724338526872
./Vrinda/3xShapes/circle_3x.png,133615,148532,1.1116416569995884
./Vrinda/3xShapes/square_3x.png,145077,144476,1.0041598604612532
./Vrinda/3xShapes/ellipse_angle_90_3x.png,206607,216967,1.050143509174423
./Vrinda/3xShapes/rectangle_angle_0_3x.png,218313,216551,1.0081366514123693
./Vrinda/3xShapes/ellipse_angle_0_3x.png,213963,208795,1.0247515505639502
./Vrinda/3xShapes/trapezium_angle_0_3x.png,135754,133505,1.0168458110183138
./Vrinda/3xShapes/parallelogram_angle_0_3x.png,133916,134700,1.0058544162012009
./Vrinda/3xShapes/parallelogram_angle_90_3x.png,142186,127220,1.1176387360477913
./Vrinda/3xShapes/trapezium_angle_90_3x.png,90331,178158,1.9722797267826107
./Vrinda/3xShapes/rectangle_angle_90_3x.png,225466,210332,1.0719529125382727
./Vrinda/3xShapes2/circle_3x.png,139297,142843,1.025456398917421
./Vrinda/3xShapes2/square_3x.png,144720,146916,1.015174129353234
./Vrinda/3xShapes2/ellipse_angle_90_3x.png,178551,244588,1.3698495107840336
./Vrinda/3xShapes2/rectangle_angle_0_3x.png,216294,219662,1.0155713981895014
./Vrinda/3xShapes2/ellipse_angle_0_3x.png,214118,210608,1.0166660335789715
./Vrinda/3xShapes2/trapezium_angle_0_3x.png,179280,89197,2.009933069497853
./Vrinda/3xShapes2/parallelogram_angle_0_3x.png,141308,128357,1.100898275902366
./Vrinda/3xShapes2/parallelogram_angle_90_3x.png,136812,132097,1.0356934676790541
./Vrinda/3xShapes2/trapezium_angle_90_3x.png,131416,137905,1.049377549156876
./Vrinda/3xShapes2/rectangle_angle_90_3x.png,228145,208364,1.0949348255936726
./Bhargav/1xShapes/trapezium_angle_90.png,21974,8217,2.6742119995132043
./Bhargav/1xShapes/parallelogram_angle_90.png,25242,4546,5.552573691157061
./Bhargav/1xShapes/ellipse_angle_90.png,22064,24605,1.1151649746192893
./Bhargav/1xShapes/circle.png,3638,27548,7.572292468389225
./Bhargav/1xShapes/rectangle_angle_0.png,23220,25412,1.0944013781223083
./Bhargav/1xShapes/rectangle_angle_90.png,23460,24324,1.0368286445012789
./Bhargav/1xShapes/trapezium_angle_0.png,5150,24653,4.786990291262136
